Name,Default,Type,"Description"
fromRoleNames,null,List<String>,"Child Role list will be loaded based on this list. If empty, all roles will be loaded."
componentId,role-selection,String,"Id of role autocomplete."
selectedRole,null,RoleDTO,"Required input and output value for selected role."
excludedRolenames,null,List<String>,"Roles to be excluded from role selection. Applied if you use default completeMethod."
requiredMessage,This field is required,String,"Message to be displayed when role autocomplete validation fails."
forceSelection,true,Boolean,"If true, only accept roles from the given list."
minQueryLength,1,Boolean,"Number of characters to be typed before starting to offer autocomplete."
completeMethod,completeRole,Method Expression,"Method for role autocomplete."
isDisabled,false,Boolean,"If true, Role Selection is disabled."
isRequired,false,Boolean,"If true, Marks Role Selection is required."
isReadOnly,false,Boolean,"If true, user cannot change role."
isRenderedMessage,true,Boolean,"Specify the rendering of message for role field."
hightlight,true,Boolean,"Highlights the first suggested role automatically."
floatingLabel,false,Boolean,"If true, display label with floating style and labelPanelStyleClass can't be applied."
autocompleteStyleClass,null,String,"Style class of role autocomplete."
autoCompletePanelStyleClass,null,String,"Style class of role autocomplete panel."
inputStyleClass,null,String,"Style class of role autocomplete input."
labelPanelStyleClass,null,String,"Style class of label panel."
labelStyleClass,null,String,"Style class of label."
label,null,String,"Text of label for role selection component."
size,null,Integer,"Number of characters. usesed to determine the width of the input element."
messageStyleClass,null,String,"Message style class."
itemLabel,displayName,String,"Displayed text of selected role and roles in dropdown list."
cache,true,Boolean,"If true, autocomplete caches the search result list."
moreText,More...,String,"The text shown in panel when the suggested list is greater than maxResults."
queryDelay,300,Integer,"Delay in milliseconds before sending a query to the server."
maxResults,100,Integer,"Maximum number of results to be displayed."
scrollHeight,400,Integer,"scrollHeight attribute of primefaces autocomplete."
hasCustomizedSelectionList,false,Boolean,"If true, the customized selection list is displayed."
isShowAvatarInSelectionList,,Boolean,"| Boolean value to specify avatar showing. Set to true to show avatar.
| The setting will detect Portal setting Portal.ShowAvatar as its default value, refer to HowTo: Update :ref:`update-portal-settings` for more details.
| If the Portal setting is not available, defaults to true."
displayNameRenderedInSelectionList,true,Boolean,"If false, the name of security member in the selection list is hidden."
displayNameInSelectionListStyleClass,null,String,"Style class of display name in the selection list"
selectionListContainerStyleClass,null,String,"Style class of item's container in the selection list"
