Name,Default,Type,Required,"Description"
id,,String,false,"Id of component."
securityMember,null,ISecurityMember,true,"Security member in the ivy security system. Beside ``ISecurityMember``, the component also accepts ``SecurityMemberDTO``, ``UserDTO`` and ``RoleDTO``."
isShowAvatar,,Boolean,false,"| Boolean value to specify avatar showing. Set to true to show avatar.
| The setting will detect Portal setting Portal.ShowAvatar as its default value, refer to HowTo: Update :ref:`update-portal-settings` for more details.
| If the Portal setting is not available, defaults to true."
showLabel,true,Boolean,false,"If false, the avatar is rendered without a label, neither the initials of the security member nor ``representName``."
representName,null,String,false,"Text displayed in the avatar instead of the initials of the security member. The avatar is rendered as long as either ``securityMember`` or ``representName`` is set."
displayNameId,username,String,false,"Id of display name element."
displayName,null,String,true,"The security member name is displayed."
displayNameRendered,true,Boolean,false,"If false, the security member name is hidden."
displayNameStyleClass,null,String,false,"The style class is applied for display name element."
containerStyleClass,null,String,false,"The style class is applied for container element."
isStandAlone,true,Boolean,false,"Set to false when you use this component in :ref:`components-portal-components-user-selection` and :ref:`components-portal-components-role-selection`."
isShowTechnicalDisplayNameOnTooltip,,Boolean,false,"| Boolean value to specify showing the technical name of a security member on tooltips. Set to true to show the technical name.
| The setting will detect Portal setting Portal.ShowTooltipTechnicalName as its default value, refer to HowTo: Update :ref:`update-portal-settings` for more details.
| If the Portal setting is not available, defaults to false."
