Name,Default,Type,Description
fromRoleNames,null,List<String>,User list will be loaded based on this list. All users will be loaded if you don't define.
componentId,user-selection,String,Id of user autocomplete.
selectedUser,null,ch.ivy.addon.portalkit.dto.UserDTO,Required input and output value for selected user.
excludedUsernames,null,List<String>,Users will be excluded from user selection. This is applied if you use default completeMethod.
requiredMessage,This field is required,String,Message to be displayed when user autocomplete validation fails.
forceSelection,true,Boolean,Only accepts user from the list when it's enabled.
minQueryLength,1,Boolean,Number of characters to be typed before starting to query.
completeMethod,completeUser,Method Expression, method for user autocomplete.
isDisabled,false,Boolean,Disable User Selection.
isRequired,false,Boolean,Marks User Selection as required.
isReadOnly,false,Boolean,Cannot change user when it's enabled.
isRenderedMessage,true,Boolean,Specify the rendering of message for user field.
hightlight,true,Boolean,Highlights the first suggested user automatically.
floatingLabel,false,Boolean,Display label with floating style and labelPanelStyleClass can't be applied if it’s enabled.
autocompleteStyleClass,null,String,Style class of user autocomplete.
autoCompletePanelStyleClass,null,String, Style class of user autocomplete panel.
inputStyleClass,null,String,Style class of user autocomplete input.
labelPanelStyleClass,null,String, Style class of label panel.
labelStyleClass,null,String, Style class of label.
label,null,String,Text of label for User selection component.
size,null,Integer,Number of characters used to determine the width of the input element.
messageStyleClass,null,String,Style class of message.
itemLabel,displayName,String,Displayed text of selected user item and users in dropdown list.
cache,true,Boolean,Autocomplete caches the searched result list if it's enabled.
moreText,More...,String,The text shown in panel when the suggested list is greater than maxResults.
queryDelay,300,Integer,Delay to wait in milliseconds before sending each query to the server.
maxResults,100,Integer,Maximum number of results to be displayed.
scrollHeight,400,Integer,scrollHeight attribute of primefaces autocomplete.
